parcours,étudiant qui n'ont pas eu au moins un voeux,ue du parcours refusé,étudiant sans edt
ANDROIDE,22,NaN,0
CCA,12,NaN,2
DAC,1,NaN,0
IMA,15,NaN,1
QI,7,NaN,0
SAR,4,NaN,0
SESI,2,NaN,0
STL,1,NaN,0
