parcours,étudiant qui n'ont pas eu au moins un voeux,ue du parcours refusé,étudiant sans edt
ANDROIDE,NaN,18,0
CCA,NaN,0,2
DAC,NaN,0,0
IMA,NaN,0,1
QI,NaN,0,0
SAR,NaN,0,0
SESI,NaN,0,0
STL,NaN,0,0
