parcours,étudiant qui n'ont pas eu au moins un voeux,ue du parcours refusé,étudiant sans edt
ANDROIDE,17,15,NaN
CCA,12,0,NaN
DAC,3,0,NaN
IMA,15,0,NaN
QI,7,0,NaN
SAR,4,0,NaN
SESI,5,0,NaN
STL,1,0,NaN
