parcours,étudiant qui n'ont pas eu au moins un voeux,ue du parcours refusé,étudiant sans edt
ANDROIDE,13,11,3
CCA,12,0,2
DAC,3,0,0
IMA,15,0,1
QI,7,0,0
SAR,4,3,0
SESI,2,0,0
STL,1,0,0
