parcours,étudiant qui n'ont pas eu au moins un voeux,ue du parcours refusé,étudiant sans edt
ANDROIDE,NaN,15,NaN
CCA,NaN,0,NaN
DAC,NaN,0,NaN
IMA,NaN,0,NaN
QI,NaN,0,NaN
SAR,NaN,0,NaN
SESI,NaN,0,NaN
STL,NaN,0,NaN
